ID;DISCIPLINA;ARGOMENTO;SUBARGOMENTO;COMANDO;ESERCIZIO;LIVELLO;SOLUZIONE;TIPO
0;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
2 x-5 y=7 \\
x-3 y=1
\end{array}\right.$";1;"$[(16; 5)]$";A
1;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
5 x+y=20 \\
5 x+7 y=20
\end{array}\right.$";1;"$[(4; 0)]$";A
2;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
2 x-y=7 \\
4 x+3 y=4
\end{array}\right.$";1;"$(5/2; -2)$";A
3;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
(x-2)^{2}+(y-1)(y+1)=x^{2}+y^{2}+3 \\
(x-3 y)(x+3 y)-x^{2}+3 y=4-9 y^{2}-2 x
\end{array}\right.$";2;"$(0;4/3)$";A
4;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
x-2=\dfrac{y}{3}-1+\dfrac{x}{2} \\
\dfrac{5 x+3 y}{6}-3=\dfrac{2 x-y}{4}+\dfrac{7}{12}
\end{array}\right.$";2;"$[(4; 3)]$";A
5;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
\dfrac{x-2}{5}-\dfrac{2 y-1}{3}=\dfrac{x+y}{15} \\
\dfrac{1}{3} x-2 y=1
\end{array}\right.$";2;"$(-27; -5)$";A
6;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Un automobilista percorre $615$ km in due giorni. Sapendo che il tragitto del primo giorno è doppio di quello del secondo giorno, trova quanti km ha percorso ogni giorno.;1;"$[410 km; 205 km]$";A
7;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Una scatola contiene forchette a 2 e a 3 punte. Sapendo che le forchette in totale sono $22$ e che le punte in totale sono $54$, calcola quante sono le forchette a 2 punte e quante quelle a 3.;1;"$[12; 10]$";A
8;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Lucia e Elena sono sorelle. La somma delle loro età è $31$ e Lucia è nata tre anni prima di Elena. Quanti anni ha ciascuna?;1;"$[17; 14]$";A
9;Matematica;espressioni_letterali;a;Calcolare la seguente espressione:;$(x+2 y)^{3}-x(x+2 y)^{2}-2 x y(x+4 y)$;2;;A
10;Matematica;limiti;a_forme_indeterminate;Calcolare il valore del seguente limite in forma indeterminata:;$\underset{x \rightarrow+\infty}{\lim} \left(\dfrac{2 x}{x+1}-\dfrac{1}{x}\right)$;1;$2$;A
11;Matematica;derivate;a_quoziente;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$y=\dfrac{x^{2}+1}{(x+1)^{2}}$;2;$\left[y^{\prime}=\frac{2(x-1)}{(x+1)^{3}}\right]$;A
12;Matematica;limiti;a_forme_indeterminate;Calcolare il valore del seguente limite in forma indeterminata:;$\underset{x \rightarrow-\infty}{\lim} \dfrac{6 x^{2}-x+1}{2 x^{2}+x+1}$;1;$3$;A
13;Matematica;derivate;a_prodotto;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$f(x)=2 x^{4} \ln x$;1;$[8x^3\ln{x}+2x^3]$;A
14;Matematica;funzioni;a_dominio_trascendente;Calcolare il dominio della seguente funzione trascendente:;$y= \ln(4-x^{2})$;1;$-2<x<2$;A
15;Matematica;funzioni;a_dominio_algebrica;Calcolare il dominio della seguente funzione e riportare i risultati nel paino cartesiano:;$y=\dfrac{1}{3 x^{2}-2 x-1}$;1;"$x<>-1/3; x<>1$";A
16;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{2 x-3}{2 x+4}=\dfrac{x}{x+2}-\dfrac{1}{x}$;1;$[4]$;A
17;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{x}{2 x+2}+x+1=\dfrac{x^{2}}{x+1}$;1;$[-2/5]$;A
18;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{x-1}{x+3}-\dfrac{2}{x^{2}+4 x+3}=\dfrac{x+3}{x+1}$;2;$[-2]$;A
19;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{2 x}{x^{2}+6 x+9}+\dfrac{1}{x+3}-\dfrac{3 x-1}{x^{2}+3 x}=0$;2;$[3/5]$;A
20;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$6 x-3(x+2 a)=a+4(x-2 a)$;1;$[x=a]$;A
21;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$2 x-4(3 x-a)=6(a-2 x)+6 a$;1;$[x=4a]$;A
22;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$x^{2}(3 b+x)-(b+x)^{3}+b^{2}(4+b-x)=0$;2;$[x=1]$;A
23;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$\left(\dfrac{2}{5}+a\right) x+3 x^{2}-x(x+5 a)=1+2 x(x-2 b)+x(4 b-5 a)$;2;$[x=5/(5a+2)]$;A
24;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{1+3 x}{4 x+4}-\dfrac{5-x}{x+1}=2$;1;$[-27]$;A
25;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{2}{1-x}=\dfrac{1}{x-x^{2}}+\dfrac{1}{x}$;1;$[2/3]$;A
26;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$3 x(a+1)+3(a+1)-2(x+1)=-(3 a-1)(3 a+1)$;1;$[x=-3a]$;A
27;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$(x-1) \cdot(a+1)-(2 x-1) \cdot(a-1)=2$;1;$[x=4/(3-a)]$;A
28;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{2-x}{3 x+6}+\dfrac{1-3 x}{2+x}=2$;1;$[-7/16]$;A
29;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{x+3}{x-3}-\dfrac{x-3}{x+3}=\dfrac{5 x}{x^{2}-9}$;1;$[0]$;A
30;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Oggi ho acquistato 2 CD e 5 cassette, spendendo 72 euro. Il mese scorso, a prezzi invariati, avevo pagato 80  euro per 3 CD e 4 cassette. Quanto costa un CD? E quanto una cassetta?;1;"$(16; 8)$";A
31;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Il caffè di qualità A costa 12 euro al kg, mentre quello di qualità B costa 8 euro al kg. Quali quantità delle due qualità di caffè occorre miscelare per ottenere 1 kg di miscela al costo di 11 euro?;1;"$(750; 250)$";A
32;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;"In un rettangolo l'altezza supera di 13 cm i $\dfrac{5}{2}$ della base; la differenza tra metà altezza ed i $\dfrac{3}{2}$ della base è 3 cm. Determina l'area e il perimetro del rettangolo.";1;"$(672; 124)$";A
33;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;In un triangolo isoscele la somma dei $\dfrac{5}{3}$ della base e dei $\dfrac{2}{5}$ del lato supera di $30$ m la base stessa. Determina le lunghezze dei tre lati del triangolo sapendo che il perimetro è $80$ m.;1;"$(30; 25)$";A
34;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Un'auto da corsa percorre un circuito, durante un test di velocità, in 1 minuto e 12 secondi. Durante una seconda prova la velocità media dell'auto aumenta di 9 km/h e il tempo di percorrenza scende a 1 minuto esatto. Qual è la lunghezza del circuito? Qual è la velocità dell'auto nella prima prova?;2;"$(900m; 12,5m/s)$";A
35;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;"Luca e Francesco sono due fratelli che hanno investito i loro risparmi, complessivamente 28.000 euro, in certificati di deposito bancari. Nella banca dove è cliente Luca l'interesse netto dei certificati è del $3\%$ annuo; nella banca di Francesco l'interesse è invece del $2,5\%$. Trascorso un anno dal loro investimento, i due fratelli percepiscono, complessivamente, un interesse di 765 euro. Quale somma ha investito inizialmente ciascuno dei due fratelli?";2;"$(Luca:13k; Francesco:15k)$";A
36;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;"In un rettangolo la somma dei $\dfrac{3}{8}$ della base e dei $\dfrac{2}{5}$ dell'altezza è 27 cm; aggiungendo 20 cm all'altezza si ottengono i $\dfrac{5}{4}$ della base. Determina il perimetro e l'area del rettangolo.";2;"$(140 cm; 1200 cm2)$";A
37;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Determina le età attuali di due sorelle sapendo che sottraendo 2 anni dai $\dfrac{5}{3}$ dell'età della minore si ottiene l'età della maggiore e che fra 6 anni l'età della maggiore sarà i $\dfrac{4}{3}$ di quella della minore.;2;"$(18; 12)$";A
38;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;In  un  numero  di  due  cifre  la  somma  delle  cifre  è 11.  Dividendo il numero per la cifra delle decine, si  ottiene  per  quoziente  14  e  resto  1. Trova  il  numero.;2;$[29]$;A
39;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;L’età   di   una   madre   supera   di   5   il   quintuplo dell’età  del  figlio.  Tra  7  anni  l’età  della  madre sommata  a  quella  del  figlio  darà  per  risultato  55. Trova le due età.;2;"$[35; 6]$";A
40;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;In  un  parcheggio  ci  sono  20  tra  automobili  e  camion. Sapendo che i camion hanno 6 ruote, invece  di  4  come  le  automobili,  e  che  ci  sono  complessivamente  86  ruote,  calcola  quante  sono  le automobili e quanti sono i camion.;2;"$[17; 3]$";A
41;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{6 x+1}{x^{2}-4}-\dfrac{6}{x}=\dfrac{3}{x^{3}-4 x}$;2;$[-21]$;A
42;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$(a-x)(a+x)+a(x+2 b)+2 b x=3 a(a+b+x)-x^{2}-2 a^{2}$;2;$x=-ab/[2(a-b)]$;A
43;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{1}{6}-\dfrac{1}{1-x}=\dfrac{1+x}{2-2 x}$;1;$[-2]$;A
44;Matematica;equazioni_fratte_grado_1;a_risultato_eq;Risolvere la seguente equazione numerica fratta:;$\dfrac{1+2 x}{x}-\dfrac{6 x}{3 x-1}+\dfrac{4}{x-3 x^{2}}=0$;2;$[5]$;A
45;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$3-2(k-x)=4(3 k-2 x)-(4 k-3)$;1;$[x=k]$;A
46;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$3(a+1) x-a(7+x)=2(a-1) x-2 x$;1;$[x=a]$;A
47;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$a^{2}(x+1)+x-b^{2}(2-x)=\left(a^{2}+b^{2}\right) x+a(a+2)-3 b^{2}$;2;$[x=2a-b^2]$;A
48;Matematica;equazioni_letterali_grado_1;a_risultato_eq;Risolvere la seguente equazione letterale intera nell’incognita $x$:;$x(3-5 a)+3(a-1)=(a-1)(a+1)-2 a x$;2;$[x=(2-a)/3]$;A
49;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
2 x-5 y=7 \\
x-3 y=1
\end{array}\right.$";1;"$[(16; 5)]$";A
50;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
5 x+y=20 \\
5 x+7 y=20
\end{array}\right.$";1;"$[(4; 0)]$";A
51;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
2 x-y=7 \\
4 x+3 y=4
\end{array}\right.$";1;"$(5/2; -2)$";A
52;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
(x-2)^{2}+(y-1)(y+1)=x^{2}+y^{2}+3 \\
(x-3 y)(x+3 y)-x^{2}+3 y=4-9 y^{2}-2 x
\end{array}\right.$";2;"$(0;4/3)$";A
53;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
x-2=\dfrac{y}{3}-1+\dfrac{x}{2} \\
\dfrac{5 x+3 y}{6}-3=\dfrac{2 x-y}{4}+\dfrac{7}{12}
\end{array}\right.$";2;"$[(4; 3)]$";A
54;Matematica;sistemi_lineari;a_metodo_cramer;Risolvere il seguente sistema con il metodo di Cramer:;"$\left\{\begin{array}{l}
\dfrac{x-2}{5}-\dfrac{2 y-1}{3}=\dfrac{x+y}{15} \\
\dfrac{1}{3} x-2 y=1
\end{array}\right.$";2;"$(-27; -5)$";A
55;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
2 x-5 y=7 \\
x-3 y=1
\end{array}\right.$";1;"$[(16; 5)]$";A
56;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
5 x+y=20 \\
5 x+7 y=20
\end{array}\right.$";1;"$[(4; 0)]$";A
57;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
2 x-y=7 \\
4 x+3 y=4
\end{array}\right.$";1;"$(5/2; -2)$";A
58;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
(x-2)^{2}+(y-1)(y+1)=x^{2}+y^{2}+3 \\
(x-3 y)(x+3 y)-x^{2}+3 y=4-9 y^{2}-2 x
\end{array}\right.$";2;"$(0;4/3)$";A
59;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
x-2=\dfrac{y}{3}-1+\dfrac{x}{2} \\
\dfrac{5 x+3 y}{6}-3=\dfrac{2 x-y}{4}+\dfrac{7}{12}
\end{array}\right.$";2;"$[(4; 3)]$";A
60;Matematica;sistemi_lineari;a_metodo_confronto;Risolvere il seguente sistema con il metodo del confronto:;"$\left\{\begin{array}{l}
\dfrac{x-2}{5}-\dfrac{2 y-1}{3}=\dfrac{x+y}{15} \\
\dfrac{1}{3} x-2 y=1
\end{array}\right.$";2;"$(-27; -5)$";A
61;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}x-y=4 \\ x+3 y=8\end{array}\right.$;1;"$(5; 1)$";A
62;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}2 x-y=3 \\ 7 x-y=1\end{array}\right.$;1;"$(-2/5; -19/5)$";A
63;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}3 x-8 y=-12 \\ \dfrac{1}{2} x+4 y=-3\end{array}\right.$;2;"$(-9/2; -3/16)$";A
64;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}(x+2)^{2}-1=x^{2}-5 y \\ 4 x-1=-y\end{array}\right.$;2;"$(1/2; -1)$";A
65;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}10(x-1)+7 y-(x+1)(x-1)=x(1-x)+1 \\ 6 x+7 y=9\end{array}\right.$;2;"$(5/3; 7/3)$";A
66;Matematica;sistemi_lineari;a_metodo_add_sottr;Risolvere il seguente sistema con il metodo di addizione/sottrazione:;$\left\{\begin{array}{l}1+3(2 x-2)(1+x)-6 x^{2}+3=2 y-6 x+4 \\ x-3 y+2=0\end{array}\right.$;2;"$(1/3; 1)$";A
67;Matematica;sistemi_lineari;a_metodo_grafico;Risolvere il seguente sistema con il metodo grafico:;$\left\{\begin{array}{l}x+2 y=8 \\ x-y=-1\end{array}\right.$;1;"$(2; 3)$";A
68;Matematica;sistemi_lineari;a_metodo_grafico;Risolvere il seguente sistema con il metodo grafico:;$\left\{\begin{array}{l}2 x-y=0 \\ 2 x+y=4\end{array}\right.$;1;"$/1; 2)$";A
